"ProductType","Product","Price","X5StarReviews","X4StarReviews","X3StarReviews","X2StarReviews","X1StarReviews","PositiveServiceReview","NegativeServiceReview","WouldConsumerRecommendProduct","BestSellersRank","ShippingWeightlbs","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume"
"PC","171","699","96","26","14","14","25","12","3","1","2498","20","21","19","8","0","0"
"PC","172","860","51","11","10","10","21","7","5","1","490","27","22","27","9","0","0"
"Laptop","173","1199","74","10","3","3","11","11","5","1","111","7","9","13","1","0","0"
"Laptop","175","1199","7","2","1","1","1","2","1","1","4446","13","16","11","1","0","0"
"Laptop","176","1999","1","1","1","3","0","0","1","0","2820","12","17","11","1","0","0"
"Netbook","178","400","19","8","4","1","10","2","4","1","4140","6","8","11","1","0","0"
"Netbook","180","329","312","112","28","31","47","28","16","1","2699","5","10","7","1","0","0"
"Netbook","181","439","23","18","7","22","18","5","16","0","1704","5","8","12","2","0","0"
"Netbook","183","330","3","4","0","1","0","1","0","1","5128","4","7","10","1","0","0"
"Tablet","186","629","296","66","30","21","36","28","9","1","34","3","7","10","0","0","0"
"Tablet","187","199","943","437","224","160","247","90","23","1","1","1","5","8","0","0","0"
"Smartphone","193","199","99","26","12","16","35","8","6","0","1277","1","3","5","0","0","0"
"Smartphone","194","49","100","26","37","33","48","14","6","1","16966","1","3","5","0","0","0"
"Smartphone","195","149","42","8","4","4","9","4","1","1","6316","1","3","5","0","0","0"
"Smartphone","196","300","50","19","13","20","22","5","7","1","44465","1","3","5","0","0","0"
"Display","201","140","4","0","0","0","2","1","1","1","324","9","14","18","7","0","0"
"Game Console","199","250","462","97","25","17","58","32","12","1","115","8","6","13","13","0","0"
